"finn_id","title","price","size_sqm","rooms","address","neighborhood","property_type","year_built","broker","url","scraped_at","lat","lon","category","category_confidence","category_reasoning","classified_at","standard","standard_confidence","standard_reasoning"
"460647480","GRÜNERLØKKA ved Botanisk Hage - Flott og arealsmart 2-roms loftsleilighet i Gråbeinskvartalet | Fantastisk takterrasse | Prisbelønnet bakgård | Sentralt",5358233,56,2,"Siebkes gate 5A, Oslo",NA,"Leilighet",1891,"PrivatMegleren","https://www.finn.no/realestate/homes/ad.html?finnkode=460647480","2026-04-20T15:17:17",NA,NA,"Central urban","high","2-room apartment in Grünerløkka at mid-range price (5.3M), central location with good transport, no luxury indicators.","2026-04-20T15:40:55","Good standard","medium","1891 building with no explicit renovation mentioned, but described positively with modern amenities (Kvik kitchen implied by mention of kitchen) and high price/m² (95,683) suggests good maintenance. Classic charm with functional modern upgrades."
"460138399","GRÜNERLØKKA/RODELØKKA - Unik & sjarmerende 4-roms leilighet over 2 plan - Takterrasse & balkong - Klassiske detaljer - Kvik kjøkken - Vedovn",9501090,119,4,"Københavngata 15, Oslo",NA,"Leilighet",1897,"DNB Eiendom","https://www.finn.no/realestate/homes/ad.html?finnkode=460138399","2026-04-20T15:17:17",NA,NA,"Central urban","high","4-room apartment in Grünerløkka/Rodeløkka at 9.5M NOK with classical charm and character, central location takes precedence over premium price.","2026-04-20T15:40:55","Good standard","medium","1897 building with classical details and Kvik kitchen mentioned, suggesting renovation updates. Well-maintained with character preserved, moderate price/m² (79,841) indicates solid condition without luxury positioning."
"460643538","Frogner - Lys og arealeffektiv 2-roms med vestvendt balkong. Felles, solrik takterrasse. Heis. V.vann inkl. P.leie. Ingen dok.avg.",5224963,42,2,"Frederik Stangs gate 35, Oslo",NA,"Leilighet",1940,"Nordvik","https://www.finn.no/realestate/homes/ad.html?finnkode=460643538","2026-04-20T15:17:17",NA,NA,"Central urban","high","2-room apartment in Frogner at 5.2M NOK, mid-range price despite prestigious neighborhood, typical for central urban category.","2026-04-20T15:40:55","Good standard","medium","1940 building with elevator and shared facilities. No explicit renovation mentioned but price/m² (124,404) and positive descriptors suggest well-maintained condition with modern conveniences added."
"460116917","Majorstuen - Lys og attraktiv 2-roms selveier med balkong & heis | Suveren beliggenhet | Varmtvann og fyring inkl.",5523348,40,2,"Majorstuveien 5, Oslo",NA,"Leilighet",1967,"PrivatMegleren","https://www.finn.no/realestate/homes/ad.html?finnkode=460116917","2026-04-20T15:17:17",NA,NA,"Central urban","high","2-room apartment in Majorstuen at 5.5M NOK, central location with good amenities, mid-range price point.","2026-04-20T15:40:55","Average / dated","medium","1967 building with no renovation keywords mentioned. Described functionally rather than with modern finishes. Price/m² (138,084) is high but driven by location rather than interior standard. Likely original or only partially updated."
"460602892","Solli plass - Vakker & klassisk perle med stor takhøyde(3,3m), stukkatur og rosett | Gj.gående & lys | 1. etg som oppleves som 2. etg",6458590,70,2,"Hansteens gate 10A, Oslo",NA,"Leilighet",1880,"DNB Eiendom","https://www.finn.no/realestate/homes/ad.html?finnkode=460602892","2026-04-20T15:17:17",NA,NA,"Central urban","high","2-room classical apartment at Solli plass (prestigious central area) at 6.5M NOK with original features and good light.","2026-04-20T15:40:55","Good standard","medium","1880 building with classical architectural features (stukkatur, rosett, 3.3m ceiling height). No renovation explicitly stated but high price/m² (92,266) and emphasis on classical beauty suggests well-preserved historic character with functional modern systems."
"460647031","Torshov - Sjelden 3-roms med balkong, spennende planløsning med nivåforskjeller og god takhøyde | IN-ordning | Usjenert og rolig.",7152608,69,3,"Vossegata 34B, Oslo",NA,"Leilighet",1920,"Otg","https://www.finn.no/realestate/homes/ad.html?finnkode=460647031","2026-04-20T15:17:17",NA,NA,"Central urban","medium","3-room apartment in Torshov (student/investment area) at 7.2M NOK; could be investment but central location and livability features dominate.","2026-04-20T15:40:55","Good standard","medium","1920 building with interesting architecture (levels, ceiling height) and IN-arrangement. No renovation keywords but functional pricing (103,661 NOK/m²) and positive description suggest well-maintained condition."
"460221965","Kværnerbyen - Nydelig, gjennomgående 4-roms i nyere bygg. Kjøkken 2025. Sørvestvendt balkong på 8 m². Garasje m/lader. Vv/fyring ink.",7359149,83,4,"Turbinveien 11, Oslo",NA,"Leilighet",2008,"Nordvik","https://www.finn.no/realestate/homes/ad.html?finnkode=460221965","2026-04-20T15:17:17",NA,NA,"Family home","high","4-room apartment in Kværnerbyen built 2008 with garage and modern kitchen; sized for family living with practical amenities.","2026-04-20T15:40:55","High standard","high","2008 building described as 'gjennomgående' (through-going) with new kitchen 2025, modern garage with charger, utilities included. Clearly recently renovated/upgraded with contemporary specifications."
"446908718","BJØRVIKA - LEKKER 3ROMS I 6ETG. - GARASJE* - BALKONG M/SJØUTSIKT - 2 SOV - HEIS - FELLES TAKTERRASSE M/SJØUTSIKT!",9228740,72,3,"Dronning Eufemias gate 49, Oslo",NA,"Leilighet",2018,"Meglervisning","https://www.finn.no/realestate/homes/ad.html?finnkode=446908718","2026-04-20T15:17:17",NA,NA,"Waterfront / premium location","high","3-room apartment in Bjørvika built 2018 with sjøutsikt (sea view), modern waterfront location takes precedence despite mid-premium price.","2026-04-20T15:40:55","High standard","high","2018 modern building in Bjørvika with all contemporary amenities (garage, elevator, shared rooftop). Built after 2015 threshold indicates modern standard construction with current specifications throughout."
"450298478","TJUVHOLMEN - Smakfullt oppusset og påkostet 3-roms | Solrik, vestvendt balkong på 6 m² | Nydelig utsikt | Heis | Felles takterrasse",10233291,66,3,"Kanalen 3, Oslo",NA,"Leilighet",2010,"Tinholt","https://www.finn.no/realestate/homes/ad.html?finnkode=450298478","2026-04-20T15:17:17",NA,NA,"Luxury","high","3-room apartment in Tjuvholmen at 10.2M NOK on prestigious waterfront address with upscale finishes and views.","2026-04-20T15:40:55","High standard","high","2010 building explicitly described as 'smakfullt oppusset og påkostet' (tastefully and carefully renovated), indicating recent quality upgrades. High price/m² (155,050) reflects premium finishes and careful renovation work."
"460433674","LAMBERTSETER - Lys og innbydende 3-roms toppleilighet m/sydvendt balkong på ca. 4 m² | VV/fyring, Tv/Internett inkl. | God beliggenhet",4981538,70,3,"Mellombølgen 38, Oslo",NA,"Leilighet",1957,"Nordvik","https://www.finn.no/realestate/homes/ad.html?finnkode=460433674","2026-04-20T15:17:17",NA,NA,"Suburban","high","3-room apartment in Lambertseter (outer Oslo district) at 5M NOK with suburban pricing and location characteristics.","2026-04-20T15:40:55","Average / dated","medium","1957 building with no renovation keywords. Described functionally but price/m² (71,165) is relatively low for Oslo, suggesting original condition or only cosmetic updates rather than full modernization."
"460680088","Familievennlig rekkehusleilighet med hage | Solrike uteplasser | 3 soverom | Garasjeplass",5460079,117,4,"Lerdalstoppen 65A, Oslo",NA,"Rekkehus",1982,"OBOS Eiendomsmeglere","https://www.finn.no/realestate/homes/ad.html?finnkode=460680088","2026-04-20T15:17:17",NA,NA,"Family home","high","4-room terraced house with garden, 117 m², suitable for families with outdoor space and garage parking.","2026-04-20T15:41:01","Average / dated","medium","Built 1982 with no mention of renovation. Price/m² of 46,667 NOK is below Oslo average, suggesting older condition. Description provides minimal detail about interior standard."
"448383616","Ulven - Lys og moderne 2(3)-roms i rolig og sentralt område - nytt bad (2025) - innglasset balkong",4608724,77,2,"Karl Staaffs vei 71, Oslo",NA,"Leilighet",1958,"Emeraeiendomsmegling","https://www.finn.no/realestate/homes/ad.html?finnkode=448383616","2026-04-20T15:17:17",NA,NA,"Central urban","high","2-room apartment in Ulven (central Oslo), mid-range price ~4.6M NOK, modern updates with new bathroom in 2025.","2026-04-20T15:41:01","Good standard","high","Explicitly mentions 'nytt bad (2025)' indicating recent bathroom renovation. Despite 1958 build year, modern updates and specific mention of new bathroom elevates it to good standard."
"460679844","BJØRVIKA - GJENNOMGÅENDE 3 ROMS FRA 2019 MED BALKONG - FELLES TAKTERRASSE - SENTRALT",10721000,74,2,"Dronning Eufemias gate 29, Oslo",NA,"Leilighet",2019,"Interessent","https://www.finn.no/realestate/homes/ad.html?finnkode=460679844","2026-04-20T15:17:17",NA,NA,"Luxury","high","Price 10.7M NOK exceeds luxury threshold, new development from 2019 in prestigious Bjørvika waterfront location.","2026-04-20T15:41:01","High standard","high","Built 2019 (modern construction), described as 'GJENNOMGÅENDE' (fully through), and high price/m² of 144,878 NOK indicates contemporary finishes and good condition."
"460651821","FROGNER - Lys og usjenert 1-r m/fantastisk bel. i rolig gate. Pusset opp 2026. Heis. Varmtv./oppvarming inkl.! Gård renovert i 05",3964745,27,1,"Frederik Stangs gate 33, Oslo",NA,"Leilighet",1921,"Sem & Johnsen","https://www.finn.no/realestate/homes/ad.html?finnkode=460651821","2026-04-20T15:17:17",NA,NA,"Student / young professional","high","1-room apartment in Frogner, small 27 m², price ~4M NOK, suitable for young professionals or singles.","2026-04-20T15:41:01","Good standard","high","Explicitly 'Pusset opp 2026' (renovated 2026) and 'Gård renovert i 05'. Recent updates with good price/m² (146,842 NOK) indicates solid modern standard despite 1921 construction."
"460636531","Teaterkvartalet / Grønland - Lys og luftig 3-roms leilighet beliggende rolig til i indre gård I Meget sentralt I V.v. inkl.",4198512,45,3,"Mandalls gate 5C, Oslo",NA,"Leilighet",1890,"EIE Eiendomsmegling","https://www.finn.no/realestate/homes/ad.html?finnkode=460636531","2026-04-20T15:17:17",NA,NA,"Central urban","high","3-room apartment in central Grønland/Teaterkvartalet, 45 m², mid-range price ~4.2M NOK, very central location.","2026-04-20T15:41:01","Good standard","medium","Built 1890 but described as 'Lys og luftig' with central location and reasonable price/m² (93,300 NOK). No explicit renovation mention, but positive descriptors suggest well-maintained condition."
"460251537","Ringnes Park - Lys og tiltalende 3-roms med solrik balkong - Heis - Kjøkken fra 2026 - Felles takterrasse - Fyring og VV. inkl",6567239,61,3,"Toftes gate 15B, Oslo",NA,"Leilighet",2010,"Nordvik","https://www.finn.no/realestate/homes/ad.html?finnkode=460251537","2026-04-20T15:17:17",NA,NA,"Central urban","high","3-room apartment in Ringnes Park area, 61 m², mid-range price ~6.6M NOK, central Oslo location with recent kitchen update.","2026-04-20T15:41:01","Good standard","high","Built 2010, explicitly mentions 'Kjøkken fra 2026' (new kitchen 2026), heis, and modern amenities. Recent construction with kitchen update indicates good contemporary standard."
"460647136","Solrik utsiktsleilighet med kveldssol og 10 kvm balkong - oppussingsobjekt med potensial.",4635557,75,3,"Skøyenkroken 9, Oslo",NA,"Leilighet",1955,"Meglervisning","https://www.finn.no/realestate/homes/ad.html?finnkode=460647136","2026-04-20T15:17:17",NA,NA,"Renovation","high","Explicitly described as 'oppussingsobjekt med potensial' (renovation project with potential), requires work despite good location.","2026-04-20T15:41:01","Renovation project","high","Title explicitly states 'oppussingsobjekt med potensial' (renovation object with potential), which is a direct keyword indicating property requires significant work."
"430102068","SOLSIDEN I NYDALEN - Stilren 3-roms selveiet toppleilighet oppusset i 2019 I Balkong med kveldssol & fantastisk utsikt I 2 bad I Fjernvarme",10035808,91,3,"Nydalen allé 27, Oslo","Nydalen","Leilighet",2007,"Partners","https://www.finn.no/realestate/homes/ad.html?finnkode=430102068","2026-04-20T15:17:17",NA,NA,"Luxury","high","Price 10M NOK in luxury range, premium location Nydalen, top-floor apartment with excellent views and high quality finishes.","2026-04-20T15:41:01","High standard","high","Explicitly 'oppusset i 2019' (renovated 2019) with modern amenities including 2 bathrooms, fjernvarme, and high price/m² (110,284 NOK) indicating contemporary high-quality finishes."
"459879409","Lekker 2-roms toppleilighet med utsikt mot Torshovparken | Klassiske detaljer | Herlig beliggenhet i flott bygård",5116614,54,2,"Agathe Grøndahls gate 16, Oslo",NA,"Leilighet",1923,"Aktiv Eiendomsmegling","https://www.finn.no/realestate/homes/ad.html?finnkode=459879409","2026-04-20T15:17:17",NA,NA,"Central urban","high","2-room apartment near Torshovparken, central location with classic character, mid-range price ~5.1M NOK.","2026-04-20T15:41:01","Good standard","medium","Built 1923 with descriptors 'Lekker' and 'Klassiske detaljer' suggesting pleasant condition. No explicit renovation mention but positive description and reasonable price/m² (94,752 NOK) indicate good maintenance."
"457568281","Grønlands Torg - Lys og tiltalende leilighet med sentral beliggenhet | Stor og solrik innglasset balkong | Heis | Gjennomgående | Sentral",6653640,87,4,"Smalgangen 15, Oslo",NA,"Leilighet",1990,"Aktiv Eiendomsmegling","https://www.finn.no/realestate/homes/ad.html?finnkode=457568281","2026-04-20T15:17:17",NA,NA,"Central urban","high","4-room apartment in central Grønlands Torg, 87 m², mid-range price ~6.7M NOK, excellent central location with good light.","2026-04-20T15:41:01","Good standard","medium","Built 1990, described as 'Lys og tiltalende', heis, gjennomgående, and central location. Price/m² (76,479 NOK) suggests functional modern standard with reasonable condition for age."
"459900299","St. Hanshaugen - Gjennomgående 3-roms m/ettertraktet beliggenhet på St. Hanshaugen | Innholdsrik planløsning | Bad 2016 | Markterrasse",9284106,101,3,"Colletts gate 13A, Oslo",NA,"Leilighet",1932,"DNB Eiendom","https://www.finn.no/realestate/homes/ad.html?finnkode=459900299","2026-04-20T15:17:17",NA,NA,"Central urban","high","St. Hanshaugen is a central Oslo district, 3-room apartment with modern updates (2016 bathroom), mid-range price (~92k NOK/m²) fits central urban category.","2026-04-20T15:41:08","Good standard","medium","Built 1932 with bathroom updated in 2016, indicating selective modernization. Price/m² of ~92k is solid for Oslo. No explicit mention of full renovation, suggesting functional but not comprehensively updated."
"452931534","Utsiktsleilighet på Etterstad - Lekker, gjennomgående 4-roms toppleilighet med nydelig fjordutsikt. Vestvendt balkong. Heis. ""Alt"" inkl i FK!",6258735,84,4,"Etterstadsletta 52, Oslo",NA,"Leilighet",1950,"PrivatMegleren","https://www.finn.no/realestate/homes/ad.html?finnkode=452931534","2026-04-20T15:17:17",NA,NA,"Waterfront / premium location","high","Listing explicitly mentions 'fjordutsikt' (fjord view) with 4 rooms and good condition; waterfront views elevate this above standard mid-range classification.","2026-04-20T15:41:08","Good standard","medium","Built 1950, described as 'lekker' (nice/charming) with modern amenities. Price/m² of ~75k and lack of renovation keywords suggest well-maintained but not recently overhauled."
"460130625","FROGNER / MADSERUD - Stilren og delikat 3-roms m/garasje. Totalrenovert i 2022. Gjennomført høy standard. Luftebalkong. Fyring/varmtv. inkl.",10980474,106,3,"Halvdan Svartes gate 6B, Oslo",NA,"Leilighet",1935,"Sem & Johnsen","https://www.finn.no/realestate/homes/ad.html?finnkode=460130625","2026-04-20T15:17:17",NA,NA,"Luxury","high","Frogner/Madserud is a prestigious address, price >10M NOK, totally renovated 2022 with high standard finishes qualifies as luxury.","2026-04-20T15:41:08","High standard","high","Explicitly states 'Totalrenovert i 2022' and 'Gjennomført høy standard'. Recent comprehensive renovation with modern finishes clearly indicates high standard classification."
